Ticker,Inicio diario,Fin diario,Inicio mensual,Fin mensual
SPY,2000-01-03,2025-12-31,2000-01-31,2025-12-31
XLB,2000-01-03,2025-12-31,2000-01-31,2025-12-31
XLE,2000-01-03,2025-12-31,2000-01-31,2025-12-31
XLF,2000-01-03,2025-12-31,2000-01-31,2025-12-31
XLI,2000-01-03,2025-12-31,2000-01-31,2025-12-31
XLK,2000-01-03,2025-12-31,2000-01-31,2025-12-31
XLP,2000-01-03,2025-12-31,2000-01-31,2025-12-31
XLU,2000-01-03,2025-12-31,2000-01-31,2025-12-31
XLV,2000-01-03,2025-12-31,2000-01-31,2025-12-31
XLY,2000-01-03,2025-12-31,2000-01-31,2025-12-31
^IRX,2000-01-03,2025-12-31,2000-01-31,2025-12-31
